Field Description,Field Name,Field Type,Attributes,Field Values,Field Range Min,Field Range Max
Gender,gender,ALPHA,2,"f,m",,
Age,age,INT,,#,18,95
Language,language,ALPHA_NUM,78,"a1,a2,a3,a4,a5,a6,a7,b1,b2,b3,b4,b5,c1,c3,d1,d2,d3,e1,e2,f1,f2,f3,g1,g2,g3,g4,h2,h3,h4,i1,i2,i3,j1,k1,k2,k3,k4,l1,l2,l3,m1,m2,m3,m4,m5,n1,n2,o1,p1,p2,p3,r1,r2,s1,s2,s3,s4,s5,s6,s7,s8,s9,sa,sb,t1,t2,t3,t4,t5,t6,t7,t8,u1,u2,ux,v1,x1,z1",,
Religion,religion,ALPHA,13,"b,c,g,h,i,j,k,l,m,o,p,s,x",,
Ethnic Group,ethnic_group,ALPHA,14,"a,c,e,f,i,j,m,n,o,p,s,t,w,y",,
Ethnic Language,ethnic_language,ALPHA,4,"a,b,c,d",,
Ethnic Hspanic Country,ethnic_hispanic_country,ALPHA,21,"ha,hb,hc,hd,he,hg,hh,hj,hk,hl,hm,hn,hp,hq,hr,hs,hu,hv,hx,hy,hz",,
Ethnic Origin,ethnic_origin,ALPHA_NUM,159,"0,c1,c2,c3,c4,c5,c6,c7,d0,d1,d3,d4,d5,d6,d7,d8,d9,de,df,dg,dh,dj,dk,dl,dm,dn,dq,dr,ds,ks,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,ma,mb,mc,md,me,mf,mg,mh,mj,mk,ml,mm,mn,mo,mp,mq,mr,ms,mt,mu,mv,mw,mx,my,mz,n1,n2,n3,n4,n5,n6,n7,n8,r1,r2,r3,r5,r6,r7,r8,r9,ra,rb,rc,rd,re,rf,rg,rh,rj,rk,rm,rp,rq,t1,t2,t3,t4,t5,t6,t7,t8,t9,tf,th,tj,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,ua,ub,uc,ud,ue,uf,ug,uh,ui,uj,uk,ul,um,un,up,uq,ur,ut,uv,uw,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,wa,wb,wc,we,wf,wg,wh,wj,wk,wl,wm,wp,xx",,
Education,education,ALPHA,4,"a,b,c,d",,
Single Parent,single_parent,BOOL,2,"FALSE,TRUE",,
Maritial Status,marital_status,ALPHA,4,"a,b,m,s",,
Household Generations,hh_generations,INT,3,"1,2,3",,
Household with Kids,hh_with_kids,BOOL,2,"FALSE,TRUE",,
Household with Young Adults,hh_with_young_adults,BOOL,1,TRUE,,
Household with Senior Adults,hh_with_senior_adults,BOOL,1,TRUE,,
Household with Veteran,hh_with_veteran,BOOL,1,TRUE,,
Household with Male Adult 18-24 Years old,hh_adults_male_18_24,BOOL,1,TRUE,,
Household with Male Adult 25-34 Years old,hh_adults_male_25_34,BOOL,1,TRUE,,
Household with Male Adult 35-44 Years old,hh_adults_male_35_44,BOOL,1,TRUE,,
Household with Male Adult 45-54 Years old,hh_adults_male_45_54,BOOL,1,TRUE,,
Household with Male Adult 55-64 Years old,hh_adults_male_55_64,BOOL,1,TRUE,,
