Level 1,Level 2,Level 3,Level 4
Arts & Entertainment,,,
Arts & Entertainment,Books & Literature,,
Arts & Entertainment,Humor,,
Arts & Entertainment,Movies,,
Arts & Entertainment,Music,,
Arts & Entertainment,Television,,
Arts & Entertainment,Concerts,,
Arts & Entertainment,Photography,,
Automotive & Cars,,,
Automotive & Cars,Auto Repair,,
Automotive & Cars,Buying & Selling,Cars,
Automotive & Cars,Buying & Selling,Boats,
Automotive & Cars,Car Culture,,
Automotive & Cars,Boating,,
Automotive & Cars,Current vehicle owners,,
Business,,,
Business,Business Professionals,,
Business,Business Professionals,Small Business Owners,
Careers & Jobs,Job Seekers,,
Education,,,
Family & Parenting,Babies & Toddlers,,
Family & Parenting,Caretakers,,
Family & Parenting,Dads,,
Family & Parenting,Moms,,
Health & Fitness,Exercise,,
Health & Fitness,Exercise,Fitness Devices,
Health & Fitness,Exercise,Hiking,
Health & Fitness,Exercise,Running,
Health & Fitness,Weight Loss,,
Health & Fitness,Pharmacy Patrons,,
Food & Drink,Dining Out,,
Food & Drink,Dining Out,Frequent Restaurant Goers,
Food & Drink,Home Chefs,,
Food & Drink,Fast Food,,
Food & Drink,Foodies,,
Hobbies & Interests,Arts & Crafts,,
Hobbies & Interests,Arts & Crafts,Live Events,Theater
Hobbies & Interests,Arts & Crafts,Live Events,Ticket Purchasing
Hobbies & Interests,Board Games & Puzzles,,
Hobbies & Interests,Card Games,,
Hobbies & Interests,Casino Visitors,,
Hobbies & Interests,Photography,,
Hobbies & Interests,Video & Computer Games,,
Hobbies & Interests,Mobile Gaming Apps,,
Hobbies & Interests,Mobile Gaming Apps,Action,
Hobbies & Interests,Mobile Gaming Apps,Adventure,
Hobbies & Interests,Mobile Gaming Apps,Arcade,
Hobbies & Interests,Mobile Gaming Apps,Educational,
Hobbies & Interests,Mobile Gaming Apps,Music,
Hobbies & Interests,Mobile Gaming Apps,Racing,
Hobbies & Interests,Mobile Gaming Apps,Role Playing Games,
Hobbies & Interests,Mobile Gaming Apps,Sports,
Hobbies & Interests,Mobile Gaming Apps,Social & Casual gaming,
Hobbies & Interests,Mobile Gaming Apps,Social & Casual gaming,Fantasy Sports
Hobbies & Interests,Mobile Gaming Apps,Trivia,
Hobbies & Interests,Mobile Gaming Apps,Word Games,
Hobbies & Interests,Photo & Video Apps,,
Home & Garden,Gardening,,
Home & Garden,Home Repair,,
News,E-news readers,,
Personal Finance,,,
Personal Finance,Financial Planning,,
Personal Finance,Insurance,,
Personal Finance,Insurance,Home Insurance,
Personal Finance,Insurance,Automobile Insurance,
Personal Finance,Investing,,
Personal Finance,Retirement Planning,,
Personal Finance,Active Trader,,
Personal Finance,Banking Services,,
Personal Finance,Mobile Payment Services,,
Society,Dating,,
Society,Marriage,,
Society,Engaged,,
Pets,,,
Pets,Cats,,
Pets,Dogs,,
Sports,Baseball,,
Sports,Bicycling,,
Sports,Football,,
Sports,Game & Fish,,
Sports,Golf,,
Sports,Hunting & Shooting,,
Sports,Pro Basketball,,
Sports,Pro Ice Hockey,,
Sports,Skiing,,
Sports,Surfing,,
Sports,Soccer,,
Sports,UFC,,
Sports,Tennis,,
Sports,College Sports,,
Sports,College Sports,Basketball,
Sports,College Sports,Football,
Sports,Extreme Sports,,
Style & Fashion,Fashion,,
Style & Fashion,Fashion,Designer Goods,
Style & Fashion,Fashion,Upscale,
Technology & Computing,Cell Phones,,
Technology & Computing,Cell Phones,Mobile Apps,
Technology & Computing,Internet Technology,Communication,
Technology & Computing,Internet Technology,Communication,Blogging
Technology & Computing,Internet Technology,Communication,Highly Influential
Technology & Computing,Internet Technology,Communication,Social Influencers
Technology & Computing,Internet Technology,Communication,Communication Writers
Technology & Computing,Entertainment,Home Entertainment,
Technology & Computing,GPS,,
Technology & Computing,Home Automation,,
Technology & Computing,Streaming,,
Technology & Computing,Streaming,Cord Cutter,
Technology & Computing,Streaming,Cord Cutter,Free Content
Technology & Computing,Streaming,Cord Cutter,On-demand movies
Technology & Computing,Streaming,Cord Cutter,Over the top devices
Technology & Computing,Streaming,Cord Cutter,Subscription Content Streamers
Technology & Computing,Streaming,Cord Cutter,Smart TVs
Technology & Computing,Streaming,Streaming TV Subscribers,
Technology & Computing,Streaming,Streaming TV Subscribers,Basic TV streamers
Technology & Computing,Streaming,Streaming TV Subscribers,Service Provider Streamers
Travel,,,
Travel,Vacation Travel,,
Travel,Air Travel,,
Travel,Business Travel,,
Travel,Camping,,
Travel,Cruises,,
Travel,Hotels,,
Travel,Road Trip,,
Real Estate,Apartments,,
Real Estate,Apartments,Apartment Hunters,
Shopping & Retail,Groceries & Essentials,Candy & Gum,
Shopping & Retail,Groceries & Essentials,Candy & Gum,Non-Chocolate
Shopping & Retail,Groceries & Essentials,Candy & Gum,Chocolate
Shopping & Retail,Groceries & Essentials,"Cookies, Chips & Snacks",
Shopping & Retail,Groceries & Essentials,"Cookies, Chips & Snacks",Salty Snacks & Popcorn
Shopping & Retail,Groceries & Essentials,"Cookies, Chips & Snacks",Cookies
Shopping & Retail,Groceries & Essentials,"Cookies, Chips & Snacks",Crackers
Shopping & Retail,Groceries & Essentials,"Cookies, Chips & Snacks",Dips & Spreads
Shopping & Retail,Groceries & Essentials,"Cookies, Chips & Snacks",Hors D'oeurves
Shopping & Retail,Groceries & Essentials,"Cookies, Chips & Snacks",Fruit Rolls/Bars/Snacks
Shopping & Retail,Groceries & Essentials,"Cookies, Chips & Snacks",Dried Meat & Jerky
Shopping & Retail,Groceries & Essentials,"Cookies, Chips & Snacks",Pudding & Gelatin
Shopping & Retail,Groceries & Essentials,"Cookies, Chips & Snacks",Refrigerated Dough/Biscuit Dough
Shopping & Retail,Groceries & Essentials,"Cookies, Chips & Snacks",Snack Bars
Shopping & Retail,Groceries & Essentials,"Cookies, Chips & Snacks",Snack Nuts/Seeds/Corn Nuts
Shopping & Retail,Groceries & Essentials,"Cookies, Chips & Snacks",Other Snacks
Shopping & Retail,Groceries & Essentials,Bakery & Bread,
Shopping & Retail,Groceries & Essentials,Bakery & Bread,Bread
Shopping & Retail,Groceries & Essentials,Bakery & Bread,Bagels/Bialys
Shopping & Retail,Groceries & Essentials,Bakery & Bread,Bakery Snacks
Shopping & Retail,Groceries & Essentials,Bakery & Bread,Pies & Cakes
Shopping & Retail,Groceries & Essentials,Bakery & Bread,Pastry/Doughnuts
Shopping & Retail,Groceries & Essentials,Bakery & Bread,Refrigerated Pizza
Shopping & Retail,Groceries & Essentials,Bakery & Bread,Al Cohens
Shopping & Retail,Groceries & Essentials,Bakery & Bread,Alexia
Shopping & Retail,Groceries & Essentials,Bakery & Bread,Alvarado Street Bakery
Shopping & Retail,Groceries & Essentials,Bakery & Bread,Amorosos
